Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
"Penelope Christine ""Penny"" Werthner (-Bales)",F,25,165,47.66,64.9605,104.852,17.50596878,CAN,1976,Summer,Montreal,"Athletics Women's 1,500 metres",None
Perianne Jones,F,24,167,55.91,65.7479,123.002,20.04733049,CAN,2010,Winter,Vancouver,Cross Country Skiing Women's 4 x 5 kilometres Relay,None
Peter Charles Francis Spir,M,20,174,64.35,68.5038,141.57,21.25445898,CAN,1976,Summer,Montreal,"Athletics Men's 1,500 metres",None
Peter Drake Rocca,M,18,191,80.76,75.1967,177.672,22.13755105,USA,1976,Summer,Montreal,Swimming Men's 100 metres Backstroke,Silver
Peter Patasi,M,28,185,71.67,72.8345,157.674,20.94083272,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Fours, 1,000 metres",None
"Peter Wallace ""Pete"" Deyo",M,18,191,73.76,75.1967,162.272,20.218744,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Doubles, 1,000 metres",None
Pierre Harvey,M,30,183,72.68,72.0471,159.896,21.70264863,CAN,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
Quentin David Wheeler,M,21,186,71.09,73.2282,156.398,20.54861834,USA,1976,Summer,Montreal,Athletics Men's 400 metres Hurdles,None
Rachelle Campbell (-Clausen),F,19,178,63.83,70.0786,140.426,20.14581492,CAN,1976,Summer,Montreal,Athletics Women's 400 metres,None
Ralph Phillip Therrio,M,22,170,75.58,66.929,166.276,26.15224913,USA,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
"Raymond Christopher ""Chris"" McCubbins",M,30,183,70.87,72.0471,155.914,21.16217265,CAN,1976,Summer,Montreal,"Athletics Men's 10,000 metres",None
"Rebecca Gwendolyn ""Becky"" Smith (-Wiber)",F,17,161,56.92,63.3857,125.224,21.95902936,CAN,1976,Summer,Montreal,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Rebekah Dianne Bradford,F,26,180,71.2,70.866,156.64,21.97530864,USA,2010,Winter,Vancouver,"Speed Skating Women's 1,000 metres",None
Reed Oldershaw,M,25,183,71.9,72.0471,158.18,21.46973633,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Singles, 1,000 metres",None
Renee A. Laravie (-Kelly),F,17,180,67.74,70.866,149.028,20.90740741,USA,1976,Summer,Montreal,Swimming Women's 100 metres Breaststroke,None
"Rhonda Arnetta Brady (-Gilles, -Anderson)",F,17,155,57.31,61.0235,126.082,23.85431842,USA,1976,Summer,Montreal,Athletics Women's 100 metres Hurdles,None
Richard Arthur Crawford,M,41,193,102.92,75.9841,226.424,27.63027195,USA,1976,Summer,Montreal,"Shooting Mixed Free Pistol, 50 metres",None
"Richard Charles ""Rick"" Wohlhuter",M,27,175,61.25,68.8975,134.75,20,USA,1976,Summer,Montreal,Athletics Men's 800 metres,Bronze
"Richard Phillip ""Rick"" Colella, Jr.",M,24,186,83.54,73.2282,183.788,24.14730027,USA,1976,Summer,Montreal,Swimming Men's 200 metres Breaststroke,Bronze
"Richard Thomas ""Dick"" Buerkle",M,28,170,59.58,66.929,131.076,20.61591696,USA,1976,Summer,Montreal,"Athletics Men's 5,000 metres",None
"Robert Ernest ""Bob"" Vehe",M,22,182,79.43,71.6534,174.746,23.97959184,USA,1976,Summer,Montreal,"Cycling Men's 1,000 metres Time Trial",None
"Robert Scott ""Bob"" Jackson",M,19,193,87.81,75.9841,193.182,23.57378722,USA,1976,Summer,Montreal,Swimming Men's 100 metres Backstroke,None
Robert Tremblay,M,22,182,83,71.6534,182.6,25.05736022,CAN,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
"Robert William ""Bobby"" Hackett, Jr.",M,16,188,83.32,74.0156,183.304,23.57401539,USA,1976,Summer,Montreal,"Swimming Men's 1,500 metres Freestyle",Silver
Robin Clegg,M,32,175,71.24,68.8975,156.728,23.26204082,CAN,2010,Winter,Vancouver,Biathlon Men's 4 x 7.5 kilometres Relay,None
Robin Marie Corsiglia (-Scholefield),F,13,157,45.58,61.8109,100.276,18.49162238,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Breaststroke,None
"Rodney ""Rod"" Strachan",M,20,183,78.24,72.0471,172.128,23.36289528,USA,1976,Summer,Montreal,Swimming Men's 400 metres Individual Medley,Gold
Roland Paul Muhlen,M,35,183,82.36,72.0471,181.192,24.59314999,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 500 metres",None
"Ronald ""Ron"" Hayman",M,21,183,70.85,72.0471,155.87,21.15620054,CAN,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
"Ronald Owen ""Ron"" Laird",M,38,186,71.07,73.2282,156.354,20.54283732,USA,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
"Ronald Philip ""Ron"" Skarin",M,24,175,73.8,68.8975,162.36,24.09795918,USA,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
Rosalyn Evette Bryant (-Clark),F,20,165,58.08,64.9605,127.776,21.33333333,USA,1976,Summer,Montreal,Athletics Women's 400 metres,None
Rosanna Lee Crawford,F,21,180,67.14,70.866,147.708,20.72222222,CAN,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Ryan Bedford,M,23,185,83.18,72.8345,182.996,24.30387144,USA,2010,Winter,Vancouver,"Speed Skating Men's 10,000 metres",None
Sara Renner,F,33,168,64.65,66.1416,142.23,22.90603741,CAN,2010,Winter,Vancouver,Cross Country Skiing Women's 30 kilometres,None
